dbn,school_name,district,zip,community_school,economic_need_index,school_income_estimate,percent_ell,percent_asian,percent_black,percent_hispanic,percent_black__hispanic,percent_white,student_attendance_rate,percent_of_students_chronically_absent,rigorous_instruction_percent,collaborative_teachers_percent,supportive_environment_percent,effective_school_leadership_percent,strong_family_community_ties_percent,trust_percent,student_achievement_rating,average_ela_proficiency,average_math_proficiency,grade_7_ela_all_students_tested,grade_7_ela_4s_all_students,grade_7_ela_4s_american_indian_or_alaska_native,grade_7_ela_4s_black_or_african_american,grade_7_ela_4s_hispanic_or_latino,grade_7_ela_4s_asian_or_pacific_islander,grade_7_ela_4s_white,grade_7_ela_4s_multiracial,grade_7_ela_4s_limited_english_proficient,grade_7_ela_4s_economically_disadvantaged,grade_7_math_all_students_tested,grade_7_math_4s_all_students,grade_7_math_4s_american_indian_or_alaska_native,grade_7_math_4s_black_or_african_american,grade_7_math_4s_hispanic_or_latino,grade_7_math_4s_asian_or_pacific_islander,grade_7_math_4s_white,grade_7_math_4s_multiracial,grade_7_math_4s_limited_english_proficient,grade_7_math_4s_economically_disadvantaged,sie_provided,in_bronx,in_brooklyn,in_manhattan,in_queens,in_staten
06M223,THE MOTT HALL SCHOOL,6,10027,0,0.7240000000000001,,4,1,9,84,93,4,94.0,16.0,92.0,88.0,87.0,80.0,73.0,90.0,4.0,3.01,3.12,82,12,0,0,10,0,0,0,0,10,81,14,0,0,13,0,0,0,0,11,0,0,0,1,0,0
06M278,PAULA HEDBAVNY SCHOOL,6,10034,0,0.604,50767.71,12,2,3,77,80,17,95.0,13.0,97.0,96.0,94.0,90.0,86.0,96.0,3.0,2.76,2.86,65,7,0,0,3,0,0,0,0,3,64,21,0,0,16,0,0,0,0,14,1,0,0,1,0,0
06M293,CITY COLLEGE ACADEMY OF THE ARTS,6,10040,0,0.708,,5,1,5,92,97,2,95.0,10.0,85.0,79.0,88.0,67.0,71.0,84.0,4.0,2.78,3.0,78,7,0,0,7,0,0,0,0,4,78,9,0,0,8,0,0,0,0,7,0,0,0,1,0,0
06M311,AMISTAD DUAL LANGUAGE SCHOOL,6,10034,0,0.713,42610.02,22,2,1,91,93,5,96.0,7.0,86.0,89.0,86.0,80.0,92.0,91.0,2.0,2.45,2.48,43,2,0,0,0,0,0,0,0,1,43,2,0,0,0,0,0,0,0,1,1,0,0,1,0,0
06M319,M.S. 319 - MARIA TERESA,6,10032,0,0.838,,31,0,5,93,98,1,94.0,18.0,94.0,92.0,92.0,88.0,88.0,93.0,3.0,2.22,2.29,165,7,0,0,7,0,0,0,0,5,165,2,0,0,2,0,0,0,0,1,0,0,0,1,0,0
06M322,MIDDLE SCHOOL 322,6,10040,0,0.861,,51,0,3,95,98,1,93.0,23.0,80.0,83.0,86.0,73.0,90.0,89.0,3.0,2.13,2.22,90,2,0,0,0,0,0,0,0,2,96,2,0,0,0,0,0,0,0,2,0,0,0,1,0,0
06M324,M.S. 324 - PATRIA MIRABAL,6,10032,0,0.779,,27,2,11,85,95,3,95.0,15.0,93.0,95.0,91.0,92.0,85.0,94.0,4.0,2.33,2.62,136,2,0,1,1,0,0,0,0,2,141,6,0,1,4,0,0,0,0,6,0,0,0,1,0,0
06M328,M.S. 328 - MANHATTAN MIDDLE SCHOOL FOR SCIENTIFIC INQUIRY,6,10032,0,0.8340000000000001,,36,1,12,85,97,1,87.0,43.0,91.0,87.0,88.0,86.0,84.0,90.0,2.0,1.98,1.97,42,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
06M346,COMMUNITY HEALTH ACADEMY OF THE HEIGHTS,6,10033,0,0.85,,19,1,7,91,98,1,93.0,20.0,87.0,95.0,89.0,91.0,80.0,95.0,3.0,2.31,2.23,81,0,0,0,0,0,0,0,0,0,82,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
06M348,WASHINGTON HEIGHTS EXPEDITIONARY LEARNING SCHOOL,6,10033,0,0.84,,17,1,3,94,97,2,94.0,18.0,83.0,87.0,89.0,76.0,79.0,92.0,3.0,2.48,2.67,78,4,0,0,0,0,0,0,0,3,78,9,0,0,0,0,0,0,0,7,0,0,0,1,0,0
06M349,HARBOR HEIGHTS,6,10033,0,0.878,,91,0,0,100,100,0,97.0,3.0,85.0,93.0,89.0,88.0,85.0,94.0,2.0,1.81,2.03,24,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
06M366,WASHINGTON HEIGHTS ACADEMY,6,10034,0,0.777,36559.91,17,2,1,94,95,2,94.0,13.0,95.0,89.0,92.0,84.0,88.0,92.0,3.0,2.57,2.72,48,5,0,0,4,0,0,0,0,4,48,3,0,0,3,0,0,0,0,1,1,0,0,1,0,0
06M528,I.S. 528 BEA FULLER RODGERS SCHOOL,6,10033,1,0.867,,19,1,2,97,99,0,95.0,14.0,82.0,82.0,91.0,78.0,85.0,91.0,3.0,2.24,2.19,45,1,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
07X005,P.S. 5 PORT MORRIS,7,10455,0,0.905,22754.7,24,0,27,71,98,1,91.0,36.0,90.0,87.0,81.0,79.0,82.0,85.0,2.0,2.15,2.11,83,2,0,0,1,0,0,0,0,0,87,3,0,0,3,0,0,0,0,0,1,1,0,0,0,0
07X029,P.S./M.S. 029 MELROSE SCHOOL,7,10451,0,0.8909999999999999,23911.23,13,3,28,67,96,1,91.0,35.0,90.0,91.0,92.0,81.0,84.0,93.0,2.0,2.12,2.12,87,1,0,0,1,0,0,0,0,0,89,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
07X031,P.S./M.S. 031 THE WILLIAM LLOYD GARRISON,7,10451,0,0.878,28918.55,13,2,27,69,96,1,90.0,39.0,86.0,86.0,85.0,79.0,81.0,89.0,2.0,2.09,2.04,79,2,0,0,1,0,0,0,0,1,78,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0
07X151,J.H.S. 151 LOU GEHRIG,7,10451,0,0.89,,34,1,28,69,98,1,92.0,29.0,88.0,90.0,85.0,78.0,80.0,90.0,3.0,2.1,1.98,72,1,0,0,1,0,0,0,0,0,77,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
07X162,J.H.S. 162 LOLA RODRIGUEZ DE TIO,7,10455,1,0.9059999999999999,,24,1,29,70,99,1,89.0,39.0,92.0,93.0,85.0,88.0,82.0,93.0,2.0,2.04,1.96,105,1,0,1,0,0,0,0,0,1,110,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
07X221,SOUTH BRONX PREPARATORY: A COLLEGE BOARD SCHOOL,7,10454,0,0.872,,8,1,24,72,96,2,93.0,21.0,89.0,92.0,89.0,87.0,74.0,91.0,3.0,2.25,2.39,92,0,0,0,0,0,0,0,0,0,92,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
07X223,M.S. 223 THE LABORATORY SCHOOL OF FINANCE AND TECHNOLOGY,7,10454,0,0.866,,9,0,20,79,99,1,95.0,12.0,84.0,76.0,85.0,71.0,75.0,82.0,3.0,2.62,2.68,94,8,0,0,7,0,0,0,0,0,93,4,0,0,4,0,0,0,0,0,0,1,0,0,0,0
07X224,P.S./I.S. 224,7,10454,0,0.903,,26,0,25,74,98,1,90.0,35.0,87.0,87.0,81.0,80.0,79.0,88.0,3.0,2.18,2.13,110,1,0,0,1,0,0,0,0,0,111,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
07X296,SOUTH BRONX ACADEMY FOR APPLIED MEDIA,7,10456,0,0.9079999999999999,,13,1,34,63,97,1,89.0,38.0,78.0,75.0,82.0,71.0,71.0,83.0,2.0,2.13,2.04,101,2,0,0,0,0,0,0,0,2,104,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0
07X298,ACADEMY OF PUBLIC RELATIONS,7,10456,0,0.882,,23,0,26,72,98,1,90.0,37.0,82.0,92.0,75.0,92.0,75.0,91.0,3.0,2.14,1.97,87,1,0,0,0,0,0,0,0,1,88,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
07X343,ACADEMY OF APPLIED MATHEMATICS AND TECHNOLOGY,7,10454,0,0.885,,10,1,26,72,99,1,92.0,29.0,90.0,88.0,87.0,88.0,79.0,91.0,4.0,2.36,2.72,102,6,0,0,4,0,0,0,0,0,102,15,0,0,11,0,0,0,0,0,0,1,0,0,0,0
07X500,HOSTOS-LINCOLN ACADEMY OF SCIENCE,7,10455,0,0.799,,5,3,18,76,94,1,93.0,21.0,83.0,79.0,76.0,71.0,77.0,86.0,2.0,2.26,2.19,60,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
07X551,THE URBAN ASSEMBLY BRONX ACADEMY OF LETTERS,7,10451,0,0.882,,14,1,30,67,97,2,90.0,33.0,80.0,79.0,76.0,72.0,77.0,83.0,2.0,2.08,2.06,82,1,0,1,0,0,0,0,0,1,81,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
08X071,P.S. 071 ROSE E. SCALA,8,10461,0,0.511,57078.08,7,7,4,62,66,26,93.0,22.0,93.0,93.0,86.0,91.0,79.0,93.0,4.0,2.66,2.87,189,20,0,1,12,0,5,0,0,14,180,22,0,0,14,0,1,0,0,18,1,1,0,0,0,0
08X101,M.S. X101 EDWARD R. BYRNE,8,10465,0,0.489,,1,14,10,56,66,20,95.0,15.0,89.0,86.0,88.0,85.0,73.0,89.0,3.0,2.89,2.74,153,48,0,0,20,16,7,0,0,29,153,15,0,0,1,11,1,0,0,10,0,1,0,0,0,0
08X123,J.H.S. 123 JAMES M. KIERAN,8,10472,1,0.8759999999999999,,24,1,21,78,99,0,91.0,28.0,67.0,64.0,78.0,53.0,71.0,69.0,2.0,2.15,1.98,108,4,0,0,3,0,0,0,0,2,112,4,0,0,4,0,0,0,0,3,0,1,0,0,0,0
08X125,J.H.S. 125 HENRY HUDSON,8,10472,0,0.821,,23,20,17,54,71,7,90.0,33.0,89.0,86.0,84.0,77.0,78.0,89.0,3.0,2.26,2.26,99,3,0,0,0,2,0,0,0,0,110,3,0,0,0,3,0,0,0,0,0,1,0,0,0,0
08X131,J.H.S. 131 ALBERT EINSTEIN,8,10473,0,0.812,,8,3,35,60,96,1,91.0,34.0,79.0,90.0,78.0,84.0,74.0,87.0,3.0,2.24,2.07,140,1,0,0,1,0,0,0,0,1,142,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
08X269,BRONX STUDIO SCHOOL FOR WRITERS AND ARTISTS,8,10459,1,0.853,,14,1,22,76,98,1,92.0,29.0,81.0,84.0,79.0,82.0,75.0,91.0,3.0,2.24,2.15,83,0,0,0,0,0,0,0,0,0,82,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0
08X301,M.S. 301 PAUL L. DUNBAR,8,10456,1,0.823,,22,0,41,57,98,1,88.0,45.0,84.0,89.0,87.0,85.0,80.0,92.0,2.0,1.97,1.95,61,1,0,0,1,0,0,0,0,1,63,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
08X302,M.S. 302 LUISA DESSUS CRUZ,8,10455,0,0.9059999999999999,,25,1,20,77,98,1,87.0,48.0,82.0,84.0,95.0,76.0,77.0,92.0,3.0,2.22,2.17,149,5,0,0,5,0,0,0,0,4,153,11,0,1,9,0,0,0,0,11,0,1,0,0,0,0
08X337,THE SCHOOL FOR INQUIRY AND SOCIAL JUSTICE,8,10472,0,0.7809999999999999,,9,4,28,68,96,1,93.0,20.0,97.0,97.0,86.0,96.0,80.0,94.0,4.0,2.67,2.77,172,19,0,2,10,0,0,0,0,12,173,48,0,11,27,0,0,0,0,33,0,1,0,0,0,0
08X367,"ARCHIMEDES ACADEMY FOR MATH, SCIENCE AND TECHNOLOGY APPLICATIONS",8,10473,0,0.723,,7,8,32,58,90,1,93.0,24.0,81.0,78.0,80.0,66.0,71.0,83.0,3.0,2.46,2.39,78,6,0,3,0,0,0,0,0,5,79,3,0,2,0,0,0,0,0,2,0,1,0,0,0,0
08X371,URBAN INSTITUTE OF MATHEMATICS,8,10465,1,0.56,,3,5,15,59,74,21,93.0,25.0,88.0,87.0,87.0,82.0,76.0,87.0,3.0,2.74,2.47,111,12,0,0,5,0,3,0,0,9,111,4,0,0,0,0,1,0,0,4,0,1,0,0,0,0
08X375,THE BRONX MATHEMATICS PREPARATORY SCHOOL,8,10473,1,0.818,,17,2,33,63,97,0,89.0,40.0,79.0,75.0,79.0,65.0,76.0,81.0,2.0,2.17,2.01,79,2,0,1,1,0,0,0,0,2,80,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
08X376,ANTONIA PANTOJA PREPARATORY ACADEMY: A COLLEGE BOARD SCHOOL,8,10473,0,0.7559999999999999,,11,7,22,68,91,1,90.0,32.0,84.0,71.0,74.0,61.0,74.0,85.0,3.0,2.33,2.15,60,1,0,0,1,0,0,0,0,1,62,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
08X424,THE HUNTS POINT SCHOOL,8,10474,1,0.8759999999999999,,27,0,21,77,98,1,90.0,35.0,83.0,74.0,83.0,73.0,82.0,86.0,3.0,2.11,2.02,93,0,0,0,0,0,0,0,0,0,97,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
08X448,SOUNDVIEW ACADEMY FOR CULTURE AND SCHOLARSHIP,8,10473,0,0.802,,11,2,31,65,96,1,91.0,31.0,86.0,88.0,87.0,81.0,84.0,90.0,4.0,2.31,2.33,115,5,0,0,4,0,0,0,0,3,117,2,0,0,2,0,0,0,0,0,0,1,0,0,0,0
08X467,MOTT HALL COMMUNITY SCHOOL,8,10465,0,0.639,,6,4,10,69,79,18,92.0,31.0,74.0,80.0,81.0,57.0,78.0,81.0,2.0,2.28,2.22,77,0,0,0,0,0,0,0,0,0,76,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
08X562,BLUEPRINT MIDDLE SCHOOL,8,10472,0,0.7959999999999999,,15,23,18,56,74,1,92.0,29.0,93.0,95.0,80.0,93.0,79.0,91.0,2.0,2.23,2.17,102,2,0,0,0,1,0,0,0,1,101,4,0,0,0,4,0,0,0,4,0,1,0,0,0,0
09X004,P.S./M.S. 004 CROTONA PARK WEST,9,10457,0,0.903,28830.61,12,1,53,45,98,1,88.0,44.0,85.0,77.0,89.0,68.0,80.0,86.0,2.0,2.28,2.45,41,3,0,2,1,0,0,0,0,0,43,11,0,7,4,0,0,0,1,0,1,1,0,0,0,0
09X022,J.H.S. 022 JORDAN L. MOTT,9,10456,1,0.877,,37,1,25,72,98,1,90.0,34.0,85.0,82.0,82.0,76.0,77.0,88.0,2.0,2.05,1.91,119,0,0,0,0,0,0,0,0,0,128,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
09X117,I.S. 117 JOSEPH H. WADE,9,10453,1,0.9,,41,2,17,80,97,1,89.0,39.0,77.0,70.0,80.0,68.0,80.0,84.0,2.0,2.04,2.0,202,5,0,0,5,0,0,0,0,4,213,2,0,0,1,0,0,0,0,2,0,1,0,0,0,0
09X128,MOTT HALL III,9,10456,0,0.852,,5,2,45,53,98,0,95.0,11.0,88.0,93.0,87.0,88.0,76.0,92.0,3.0,2.71,2.95,113,16,0,0,7,0,0,0,0,16,113,13,0,0,4,0,0,0,0,13,0,1,0,0,0,0
09X145,J.H.S. 145 ARTURO TOSCANINI,9,10456,1,0.888,,43,1,29,69,98,0,89.0,43.0,86.0,81.0,89.0,72.0,79.0,86.0,2.0,2.09,1.98,105,2,0,0,1,0,0,0,0,2,112,2,0,0,2,0,0,0,0,2,0,1,0,0,0,0
09X215,KAPPA,9,10456,0,0.8390000000000001,,15,6,45,48,93,0,95.0,12.0,88.0,86.0,84.0,77.0,75.0,88.0,3.0,2.48,2.67,62,4,0,0,2,0,0,0,0,2,62,7,0,0,4,0,0,0,0,3,0,1,0,0,0,0
09X218,P.S./I.S. 218 RAFAEL HERNANDEZ DUAL LANGUAGE MAGNET SCHOOL,9,10452,0,0.861,25919.64,31,4,5,89,94,1,94.0,18.0,89.0,84.0,89.0,76.0,82.0,88.0,3.0,2.45,2.56,86,2,0,0,1,0,0,0,0,2,86,6,0,0,4,0,0,0,0,6,1,1,0,0,0,0
09X219,I.S. 219 NEW VENTURE SCHOOL,9,10456,1,0.929,,31,1,37,61,98,1,90.0,35.0,82.0,66.0,81.0,63.0,70.0,79.0,2.0,1.98,1.92,76,0,0,0,0,0,0,0,0,0,78,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
09X229,I.S. 229 ROLAND PATTERSON,9,10453,0,0.885,,20,1,35,63,98,1,90.0,38.0,78.0,65.0,83.0,63.0,81.0,81.0,2.0,2.1,1.99,83,1,0,0,1,0,0,0,0,1,87,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
09X232,I.S. 232,9,10453,0,0.872,,39,0,20,79,99,1,93.0,25.0,78.0,65.0,82.0,59.0,78.0,79.0,3.0,2.16,2.27,162,3,0,0,3,0,0,0,0,3,150,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0
09X241,"URBAN ASSEMBLY SCHOOL FOR APPLIED MATH AND SCIENCE, THE",9,10457,0,0.8220000000000001,,11,1,34,64,98,1,92.0,26.0,82.0,82.0,80.0,79.0,77.0,86.0,3.0,2.23,2.47,90,1,0,0,1,0,0,0,0,0,90,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
09X303,I.S. X303 LEADERSHIP & COMMUNITY SERVICE,9,10453,0,0.9009999999999999,,16,0,23,75,98,1,92.0,27.0,82.0,93.0,86.0,92.0,80.0,93.0,3.0,2.27,2.29,78,2,0,1,1,0,0,0,0,0,77,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0
09X313,I.S. 313 SCHOOL OF LEADERSHIP DEVELOPMENT,9,10457,1,0.8809999999999999,,32,1,32,67,99,0,89.0,42.0,73.0,80.0,78.0,60.0,75.0,79.0,3.0,2.05,2.05,91,0,0,0,0,0,0,0,0,0,98,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
09X323,BRONX WRITING ACADEMY,9,10456,0,0.892,,27,3,30,66,95,1,87.0,45.0,81.0,78.0,81.0,70.0,78.0,87.0,3.0,2.21,2.17,122,2,0,1,1,0,0,0,0,2,128,2,0,0,1,0,0,0,0,2,0,1,0,0,0,0
09X324,BRONX EARLY COLLEGE ACADEMY FOR TEACHING & LEARNING,9,10456,1,0.8190000000000001,,14,3,29,66,95,2,93.0,23.0,90.0,94.0,84.0,88.0,74.0,90.0,3.0,2.17,2.16,74,1,0,0,1,0,0,0,0,1,74,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
09X325,URBAN SCIENCE ACADEMY,9,10456,1,0.8909999999999999,,36,1,30,67,97,1,90.0,36.0,77.0,75.0,84.0,72.0,84.0,87.0,2.0,2.0,1.97,90,1,0,0,0,0,0,0,0,0,96,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
09X327,COMPREHENSIVE MODEL SCHOOL PROJECT M.S. 327,9,10452,0,0.862,,10,0,22,77,99,1,94.0,21.0,93.0,94.0,85.0,91.0,79.0,93.0,4.0,2.64,3.03,101,10,0,0,9,0,0,0,0,10,100,15,0,0,11,0,0,0,0,14,0,1,0,0,0,0
09X328,NEW MILLENNIUM BUSINESS ACADEMY MIDDLE SCHOOL,9,10456,1,0.938,,25,1,33,65,98,0,90.0,38.0,90.0,93.0,84.0,82.0,80.0,89.0,2.0,2.1,2.0,56,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
09X339,I.S. 339,9,10457,1,0.9129999999999999,,28,1,28,70,98,1,91.0,31.0,82.0,75.0,77.0,66.0,77.0,77.0,2.0,2.05,2.04,154,0,0,0,0,0,0,0,0,0,162,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
09X350,NEW DIRECTIONS SECONDARY SCHOOL,9,10457,0,0.92,,34,0,30,67,98,0,66.0,74.0,66.0,71.0,93.0,67.0,78.0,89.0,2.0,1.9,1.91,31,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
09X361,THE HIGHBRIDGE GREEN SCHOOL,9,10452,0,0.8859999999999999,,20,1,25,73,98,1,94.0,20.0,94.0,93.0,94.0,94.0,85.0,95.0,3.0,2.27,2.17,117,3,0,0,3,0,0,0,0,0,117,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
09X413,BRONX HIGH SCHOOL FOR MEDICAL SCIENCE,9,10457,0,0.8009999999999999,,6,8,33,57,90,1,96.0,11.0,90.0,92.0,82.0,81.0,81.0,91.0,3.0,2.57,2.53,43,3,0,0,2,0,0,0,0,3,42,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
09X454,SCIENCE AND TECHNOLOGY ACADEMY: A MOTT HALL SCHOOL,9,10456,0,0.86,,20,2,26,70,96,1,92.0,29.0,96.0,98.0,95.0,98.0,84.0,98.0,4.0,2.58,2.71,142,9,0,1,6,0,0,0,0,7,148,13,0,2,8,0,0,0,0,10,0,1,0,0,0,0
09X505,"BRONX SCHOOL FOR LAW, GOVERNMENT AND JUSTICE",9,10451,0,0.8029999999999999,,6,1,24,71,96,1,95.0,14.0,82.0,80.0,80.0,76.0,71.0,85.0,4.0,2.63,2.63,90,7,0,0,6,0,0,0,0,0,90,6,0,0,5,0,0,0,0,0,0,1,0,0,0,0
09X568,YOUNG WOMEN'S LEADERSHIP SCHOOL OF THE BRONX,9,10453,0,0.816,,5,2,39,58,97,1,94.0,17.0,94.0,98.0,86.0,98.0,84.0,94.0,4.0,2.68,2.8,66,7,0,0,5,0,0,0,0,5,66,3,0,0,2,0,0,0,0,3,0,1,0,0,0,0
10X003,P.S. 3 RAUL JULIA MICRO SOCIETY,10,10457,0,0.8640000000000001,25544.48,10,2,29,68,97,0,91.0,37.0,97.0,90.0,87.0,83.0,83.0,91.0,3.0,2.35,2.54,24,0,0,0,0,0,0,0,0,0,24,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0
10X015,P.S. X015 INSTITUTE FOR ENVIRONMENTAL LEARNING,10,10453,0,0.852,28779.66,7,1,13,85,98,0,95.0,16.0,86.0,86.0,85.0,79.0,84.0,91.0,4.0,2.57,2.84,62,9,0,0,9,0,0,0,0,5,62,5,0,0,5,0,0,0,0,2,1,1,0,0,0,0
10X020,"P.S./M.S. 20 P.O.GEORGE J. WERDANN, III",10,10458,0,0.8059999999999999,34155.6,19,9,8,73,82,8,92.0,29.0,88.0,82.0,84.0,69.0,75.0,85.0,3.0,2.32,2.34,80,5,0,0,1,0,1,0,0,0,79,2,0,0,0,0,2,0,0,0,1,1,0,0,0,0
10X037,P.S. X037 - MULTIPLE INTELLIGENCE SCHOOL,10,10463,0,0.752,69064.16,15,2,23,72,95,2,92.0,33.0,93.0,92.0,85.0,86.0,88.0,92.0,3.0,2.37,2.55,64,4,0,0,4,0,0,0,0,2,63,2,0,0,2,0,0,0,0,1,1,1,0,0,0,0
10X045,THOMAS C. GIORDANO MIDDLE SCHOOL 45,10,10458,0,0.8859999999999999,,17,1,16,78,94,4,91.0,32.0,87.0,86.0,82.0,75.0,73.0,88.0,2.0,2.27,2.15,211,5,0,1,4,0,0,0,0,0,219,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
10X080,J.H.S. 080 THE MOSHOLU PARKWAY,10,10467,1,0.8270000000000001,,31,13,13,67,81,5,89.0,38.0,87.0,79.0,81.0,70.0,74.0,84.0,3.0,2.16,2.07,204,4,0,0,2,1,0,0,0,4,220,9,0,1,4,3,0,0,1,9,0,1,0,0,0,0
10X095,P.S. 095 SHEILA MENCHER,10,10463,0,0.7859999999999999,42357.53,19,7,17,70,87,4,92.0,29.0,85.0,71.0,84.0,63.0,87.0,82.0,3.0,2.41,2.41,136,9,0,0,6,0,0,0,0,7,134,5,0,2,2,0,0,0,0,4,1,1,0,0,0,0
10X118,J.H.S. 118 WILLIAM W. NILES,10,10457,0,0.843,,11,15,21,60,81,3,92.0,26.0,84.0,76.0,83.0,69.0,69.0,88.0,3.0,2.54,2.59,348,51,0,5,24,20,2,0,0,46,352,60,0,7,19,30,4,0,0,56,0,1,0,0,0,0
10X141,RIVERDALE / KINGSBRIDGE ACADEMY (MIDDLE SCHOOL / HIGH SCHOOL 141),10,10463,0,0.418,,7,7,10,56,66,26,94.0,13.0,84.0,81.0,82.0,75.0,75.0,86.0,3.0,2.74,2.93,228,24,0,3,8,1,12,0,0,8,227,37,0,2,15,4,16,0,0,13,0,1,0,0,0,0
10X206,I.S. 206 ANN MERSEREAU,10,10468,0,0.909,,24,1,19,78,97,1,91.0,33.0,89.0,91.0,83.0,83.0,84.0,94.0,2.0,2.06,2.12,66,3,0,0,3,0,0,0,0,2,68,2,0,0,2,0,0,0,0,1,0,1,0,0,0,0
10X225,THEATRE ARTS PRODUCTION COMPANY SCHOOL,10,10457,0,0.8059999999999999,,6,1,27,68,95,2,92.0,26.0,84.0,87.0,81.0,80.0,76.0,91.0,3.0,2.38,2.48,69,3,0,0,2,0,0,0,0,2,67,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
10X228,JONAS BRONCK ACADEMY,10,10458,0,0.821,,4,5,18,72,91,2,98.0,2.0,91.0,92.0,92.0,86.0,86.0,94.0,3.0,2.7,2.66,85,7,0,0,5,0,0,0,0,5,85,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
10X243,WEST BRONX ACADEMY FOR THE FUTURE,10,10458,0,0.851,,11,2,20,75,95,2,92.0,25.0,84.0,85.0,81.0,82.0,74.0,89.0,3.0,2.35,2.32,86,1,0,0,1,0,0,0,0,0,85,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
10X244,THE NEW SCHOOL FOR LEADERSHIP AND JOURNALISM,10,10463,0,0.85,,20,2,11,83,94,3,93.0,24.0,92.0,88.0,89.0,86.0,84.0,92.0,4.0,2.51,2.49,256,18,0,1,15,0,1,0,0,17,267,19,0,2,14,0,1,0,0,17,0,1,0,0,0,0
10X254,I.S. 254,10,10458,0,0.885,,34,3,18,78,95,1,91.0,30.0,77.0,83.0,83.0,74.0,76.0,88.0,4.0,2.2,2.25,174,4,0,1,3,0,0,0,0,3,175,5,0,0,5,0,0,0,0,3,0,1,0,0,0,0
10X279,"P.S. 279 CAPTAIN MANUEL RIVERA, JR.",10,10453,0,0.9179999999999999,26313.1,29,3,17,79,96,0,93.0,26.0,90.0,92.0,88.0,89.0,87.0,93.0,3.0,2.26,2.33,110,3,0,0,2,0,0,0,0,2,110,4,0,0,2,0,0,0,0,3,1,1,0,0,0,0
10X280,P.S./M.S. 280 MOSHOLU PARKWAY,10,10467,0,0.8370000000000001,37116.54,12,11,9,74,83,5,93.0,22.0,95.0,92.0,96.0,84.0,81.0,94.0,4.0,2.48,2.66,96,6,0,0,4,2,0,0,0,0,95,2,0,0,0,2,0,0,0,0,1,1,0,0,0,0
10X308,BRONX DANCE ACADEMY SCHOOL,10,10467,0,0.8240000000000001,,6,2,21,77,97,1,94.0,18.0,89.0,86.0,86.0,74.0,73.0,86.0,3.0,2.52,2.54,94,5,0,0,4,0,0,0,0,5,94,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0
10X315,P.S. 315 LAB SCHOOL,10,10453,0,0.868,26738.54,16,1,16,82,98,1,94.0,19.0,95.0,93.0,80.0,90.0,87.0,89.0,4.0,2.46,2.61,26,4,0,0,0,0,0,0,0,0,26,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0
10X331,THE BRONX SCHOOL OF YOUNG LEADERS,10,10453,1,0.894,,18,1,24,74,98,1,94.0,20.0,85.0,86.0,85.0,81.0,84.0,90.0,3.0,2.2,2.14,121,0,0,0,0,0,0,0,0,0,131,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
