dbn,grade_7_enrollment,num_shsat_test_takers,offers_per_student,pct_test_takers,high_registrations,school_name,district,zip,community_school,economic_need_index,school_income_estimate,percent_ell,percent_asian,percent_black,percent_hispanic,percent_black__hispanic,percent_white,student_attendance_rate,percent_of_students_chronically_absent,rigorous_instruction_percent,rigorous_instruction_rating,collaborative_teachers_percent,collaborative_teachers_rating,supportive_environment_percent,supportive_environment_rating,effective_school_leadership_percent,effective_school_leadership_rating,strong_family_community_ties_percent,strong_family_community_ties_rating,trust_percent,trust_rating,student_achievement_rating,average_ela_proficiency,average_math_proficiency,grade_7_ela_all_students_tested,grade_7_ela_4s_all_students,grade_7_ela_4s_american_indian_or_alaska_native,grade_7_ela_4s_black_or_african_american,grade_7_ela_4s_hispanic_or_latino,grade_7_ela_4s_asian_or_pacific_islander,grade_7_ela_4s_white,grade_7_ela_4s_multiracial,grade_7_ela_4s_limited_english_proficient,grade_7_ela_4s_economically_disadvantaged,grade_7_math_all_students_tested,grade_7_math_4s_all_students,grade_7_math_4s_american_indian_or_alaska_native,grade_7_math_4s_black_or_african_american,grade_7_math_4s_hispanic_or_latino,grade_7_math_4s_asian_or_pacific_islander,grade_7_math_4s_white,grade_7_math_4s_multiracial,grade_7_math_4s_limited_english_proficient,grade_7_math_4s_economically_disadvantaged,number_of_students_english,number_of_students_math,number_of_students_science,number_of_students_social_studies,number_of_classes_english,number_of_classes_math,number_of_classes_science,number_of_classes_social_studies,average_class_size_english,average_class_size_math,average_class_size_science,average_class_size_social_studies,school_pupil_teacher_ratio
27Q137,617,179,4,27,0,M.S. 137 AMERICA'S SCHOOL OF HEROES,27,11417,0,0.541,,9,54,5,32,37,2,93.0,24.0,91.0,3.0,88.0,2.0,82.0,2.0,82.0,3.0,74.0,2.0,90.0,3.0,3.0,2.68,2.81,644,86,1,6,18,59,2,0,0,69,655,105,7,2,19,72,5,0,1,83,2677.0,2646.0,2058.0,1926.0,99.0,96.0,74.0,68.0,27.040404040404038,27.5625,27.81081081081081,28.323529411764714,16.9
02M276,92,56,26,66,1,BATTERY PARK CITY SCHOOL,2,10011,0,0.114,140085.12,2,21,4,11,15,56,96.0,8.0,92.0,4.0,94.0,3.0,88.0,3.0,92.0,4.0,90.0,4.0,93.0,3.0,3.0,3.16,3.32,89,26,0,0,1,6,19,0,0,1,89,22,0,0,0,8,12,0,0,1,275.0,274.0,275.0,275.0,9.0,9.0,9.0,9.0,30.555555555555557,30.444444444444446,30.555555555555557,30.555555555555557,14.3
31R007,370,129,6,32,0,I.S. 007 ELIAS BERNSTEIN,31,10312,0,0.239,,1,4,1,7,7,88,94.0,15.0,94.0,4.0,93.0,4.0,88.0,3.0,84.0,3.0,76.0,2.0,91.0,3.0,3.0,3.1,3.22,382,79,0,0,1,5,72,0,0,15,378,94,0,0,1,10,82,0,0,17,1385.0,1288.0,1162.0,1161.0,46.0,43.0,39.0,39.0,30.108695652173914,29.953488372093023,29.794871794871803,29.76923076923077,16.400000000000002
25Q294,99,69,15,50,1,BELL ACADEMY,25,11360,0,0.255,,2,34,4,27,31,34,95.0,9.0,92.0,4.0,90.0,4.0,83.0,3.0,91.0,4.0,80.0,3.0,91.0,3.0,3.0,3.07,3.16,123,35,0,0,0,15,12,0,0,13,121,45,0,0,0,23,15,0,0,19,612.0,368.0,368.0,368.0,22.0,13.0,13.0,13.0,27.818181818181817,28.30769230769231,28.30769230769231,28.30769230769231,15.300000000000004
27Q210,643,169,3,26,0,J.H.S. 210 ELIZABETH BLACKWELL,27,11416,0,0.602,,13,28,6,61,67,3,93.0,23.0,86.0,3.0,87.0,4.0,82.0,2.0,76.0,2.0,75.0,2.0,89.0,3.0,3.0,2.58,2.67,554,43,0,1,19,21,0,0,0,36,571,64,0,2,24,38,0,0,0,56,2680.0,2584.0,1684.0,1635.0,100.0,97.0,65.0,63.0,26.8,26.639175257731964,25.907692307692308,25.952380952380953,15.800000000000004
25Q281,100,70,19,35,0,EAST-WEST SCHOOL OF INTERNATIONAL STUDIES,25,11355,0,0.5379999999999999,,7,67,10,18,28,4,98.0,2.0,89.0,3.0,88.0,4.0,84.0,3.0,85.0,3.0,74.0,2.0,91.0,3.0,4.0,2.96,3.39,106,19,0,0,1,16,0,0,0,12,107,44,0,0,1,40,0,0,1,34,455.0,333.0,333.0,333.0,19.0,12.0,12.0,12.0,23.947368421052627,27.75,27.75,27.75,11.900000000000004
20K229,115,93,16,72,1,P.S. 229 DYKER,20,11228,0,0.385,70641.62,9,55,1,11,13,32,97.0,8.0,90.0,4.0,88.0,3.0,87.0,3.0,76.0,2.0,80.0,2.0,89.0,3.0,3.0,3.11,3.44,94,15,0,0,0,9,5,0,0,8,97,27,0,0,0,20,6,0,0,16,343.0,343.0,343.0,343.0,13.0,13.0,13.0,13.0,26.384615384615387,26.384615384615387,26.384615384615387,26.384615384615387,18.5
15K088,466,163,5,39,1,J.H.S. 088 PETER ROUGET,15,11215,0,0.7190000000000001,,12,18,11,60,71,10,95.0,13.0,89.0,4.0,87.0,4.0,86.0,4.0,77.0,2.0,78.0,3.0,90.0,3.0,4.0,2.58,2.67,374,29,0,0,13,9,4,0,0,18,374,62,0,0,27,23,9,0,1,42,1423.0,1371.0,1872.0,1932.0,54.0,51.0,70.0,71.0,26.35185185185185,26.882352941176467,26.742857142857147,27.211267605633804,14.099999999999996
30Q126,240,59,11,32,0,ALBERT SHANKER SCHOOL FOR VISUAL AND PERFORMING ARTS,30,11106,0,0.7070000000000001,,12,25,15,49,64,10,94.0,20.0,90.0,4.0,97.0,4.0,91.0,3.0,93.0,4.0,81.0,3.0,96.0,4.0,3.0,2.46,2.51,182,19,0,3,3,12,0,0,0,15,181,28,0,1,4,21,0,0,0,24,950.0,952.0,652.0,625.0,38.0,38.0,26.0,25.0,25.0,25.052631578947373,25.07692307692308,25.0,15.400000000000004
03M245,134,70,14,53,1,M.S. M245 THE COMPUTER SCHOOL,3,10024,0,0.304,,3,6,14,26,40,50,97.0,6.0,90.0,4.0,92.0,4.0,91.0,4.0,85.0,3.0,86.0,3.0,95.0,4.0,4.0,3.17,3.14,124,41,0,3,8,2,26,0,0,6,125,35,0,2,6,2,24,0,0,5,408.0,529.0,401.0,401.0,16.0,23.0,15.0,15.0,25.5,23.0,26.73333333333333,26.73333333333333,15.699999999999996
15K443,191,94,10,50,1,NEW VOICES SCHOOL OF ACADEMIC & CREATIVE ARTS,15,11215,0,0.381,,1,6,13,35,48,45,95.0,10.0,93.0,4.0,94.0,4.0,86.0,3.0,89.0,4.0,83.0,3.0,93.0,3.0,4.0,3.1,3.11,164,49,0,7,13,0,28,0,0,7,160,39,0,1,11,0,22,0,0,8,563.0,563.0,590.0,563.0,18.0,18.0,19.0,18.0,31.277777777777782,31.277777777777782,31.052631578947373,31.277777777777782,15.599999999999998
20K223,341,142,6,43,1,J.H.S. 223 THE MONTAUK,20,11204,0,0.792,,31,61,4,27,31,7,96.0,12.0,85.0,3.0,88.0,4.0,86.0,3.0,82.0,3.0,72.0,2.0,90.0,3.0,4.0,2.43,2.89,291,13,0,0,1,12,0,0,0,13,307,71,0,1,2,62,6,0,9,67,1296.0,1004.0,1004.0,1005.0,58.0,41.0,41.0,41.0,22.344827586206893,24.48780487804878,24.48780487804878,24.51219512195122,15.099999999999996
02M126,111,66,16,58,1,P.S. 126 JACOB AUGUST RIIS,2,10038,0,0.728,38919.61,17,59,11,21,32,8,96.0,10.0,91.0,4.0,93.0,4.0,91.0,4.0,89.0,4.0,82.0,2.0,95.0,4.0,4.0,2.93,3.29,103,32,0,0,4,17,9,0,0,20,104,44,0,0,2,30,11,0,0,29,462.0,570.0,344.0,344.0,16.0,20.0,12.0,12.0,28.875,28.5,28.66666666666667,28.66666666666667,14.599999999999996
27Q202,350,98,5,26,0,J.H.S. 202 ROBERT H. GODDARD,27,11417,0,0.593,,8,34,7,48,55,8,95.0,14.0,92.0,3.0,94.0,4.0,85.0,3.0,89.0,3.0,73.0,2.0,92.0,3.0,3.0,2.63,2.63,351,31,0,4,9,17,1,0,0,25,362,28,0,2,7,16,3,0,0,20,1826.0,1083.0,1083.0,1083.0,68.0,40.0,40.0,40.0,26.85294117647059,27.075,27.075,27.075,16.199999999999996
02M260,99,36,18,16,0,M.S. 260 CLINTON SCHOOL WRITERS & ARTISTS,2,10003,0,0.236,,1,14,6,10,16,65,97.0,2.0,91.0,4.0,90.0,3.0,90.0,4.0,87.0,3.0,87.0,4.0,95.0,4.0,4.0,3.37,3.36,86,24,0,0,0,3,19,0,0,2,84,17,0,0,0,3,13,0,0,1,377.0,327.0,290.0,302.0,11.0,11.0,9.0,10.0,34.27272727272727,29.72727272727273,32.22222222222222,30.2,14.8
24Q102,143,67,12,46,1,P.S. 102 BAYVIEW,24,11373,0,0.535,54319.34,13,60,3,33,36,3,96.0,13.0,91.0,4.0,89.0,3.0,94.0,4.0,82.0,3.0,80.0,2.0,91.0,3.0,3.0,2.85,2.98,113,32,0,0,0,20,0,0,0,24,113,42,0,0,0,34,0,0,2,38,410.0,501.0,412.0,412.0,15.0,18.0,15.0,15.0,27.33333333333333,27.83333333333333,27.466666666666665,27.466666666666665,14.900000000000004
25Q189,248,97,7,39,1,J.H.S. 189 DANIEL CARTER BEARD,25,11355,0,0.63,,24,69,3,25,28,3,97.0,5.0,94.0,3.0,94.0,3.0,88.0,4.0,88.0,3.0,69.0,2.0,90.0,3.0,3.0,2.64,2.98,213,32,0,0,5,25,0,0,0,17,224,59,0,0,6,53,0,0,5,32,898.0,761.0,705.0,705.0,39.0,30.0,27.0,27.0,23.025641025641022,25.36666666666667,26.11111111111111,26.11111111111111,15.300000000000004
21K228,417,160,4,38,0,I.S. 228 DAVID A. BOODY,21,11223,0,0.636,,11,29,8,26,34,36,95.0,16.0,92.0,3.0,94.0,4.0,88.0,3.0,89.0,4.0,74.0,2.0,93.0,4.0,3.0,2.62,2.8,502,41,0,2,8,11,20,0,0,31,509,84,0,0,10,43,30,0,1,69,1771.0,1115.0,1412.0,1383.0,71.0,42.0,56.0,54.0,24.943661971830984,26.54761904761905,25.214285714285715,25.61111111111111,14.400000000000004
02M413,105,46,15,21,0,SCHOOL OF THE FUTURE HIGH SCHOOL,2,10010,0,0.358,,1,15,11,29,40,37,97.0,6.0,88.0,4.0,96.0,4.0,88.0,4.0,91.0,4.0,76.0,3.0,92.0,3.0,3.0,3.05,3.21,80,19,0,0,3,1,9,6,0,2,80,27,0,0,5,4,13,4,0,4,,304.0,304.0,,,12.0,12.0,,,25.33333333333333,25.33333333333333,,14.5
10X141,249,75,6,15,0,RIVERDALE / KINGSBRIDGE ACADEMY (MIDDLE SCHOOL / HIGH SCHOOL 141),10,10463,0,0.418,,7,7,10,56,66,26,94.0,13.0,84.0,3.0,81.0,3.0,82.0,3.0,75.0,2.0,75.0,2.0,86.0,3.0,3.0,2.74,2.93,228,24,0,3,8,1,12,0,0,8,227,37,0,2,15,4,16,0,0,13,803.0,1443.0,749.0,749.0,34.0,52.0,27.0,27.0,23.617647058823533,27.75,27.740740740740737,27.740740740740737,14.400000000000004
03M243,57,38,25,66,1,M.S. 243 CENTER SCHOOL,3,10024,0,0.181,,0,8,15,12,27,61,98.0,0.0,96.0,4.0,91.0,3.0,96.0,4.0,90.0,3.0,91.0,4.0,96.0,4.0,4.0,3.61,3.57,57,32,0,2,2,0,24,0,0,0,57,23,0,0,3,0,17,0,0,0,172.0,171.0,172.0,172.0,9.0,9.0,9.0,9.0,19.11111111111111,19.0,19.11111111111111,19.11111111111111,17.400000000000002
24Q049,142,43,11,32,0,P.S. 049 DOROTHY BONAWIT KOLE,24,11379,0,0.348,67367.55,7,16,0,25,26,57,96.0,9.0,92.0,3.0,93.0,4.0,88.0,3.0,86.0,3.0,81.0,2.0,94.0,4.0,3.0,2.97,3.09,131,32,0,0,3,4,25,0,0,7,132,29,0,0,5,5,19,0,0,12,416.0,409.0,409.0,552.0,13.0,14.0,13.0,17.0,32.0,29.214285714285715,31.461538461538463,32.47058823529412,18.0
01M839,122,66,11,52,1,TOMPKINS SQUARE MIDDLE SCHOOL,1,10009,0,0.597,,3,23,16,37,53,20,96.0,7.0,90.0,4.0,89.0,4.0,88.0,3.0,86.0,3.0,83.0,3.0,94.0,4.0,4.0,2.92,3.01,93,22,0,0,4,8,6,0,0,13,93,10,0,0,1,5,3,0,0,7,,402.0,373.0,,,13.0,12.0,,,30.923076923076927,31.08333333333333,,12.9
31R027,325,77,4,23,0,I.S. 027 ANNING S. PRALL,31,10310,0,0.557,,5,10,24,40,63,25,92.0,26.0,84.0,2.0,87.0,2.0,79.0,2.0,75.0,2.0,69.0,1.0,86.0,2.0,3.0,2.64,2.53,335,52,0,5,9,12,26,0,0,20,334,54,0,5,8,18,22,1,0,24,1203.0,1186.0,1009.0,1067.0,48.0,46.0,40.0,42.0,25.0625,25.782608695652176,25.225,25.404761904761905,15.0
25Q499,54,40,25,75,1,"THE QUEENS COLLEGE SCHOOL FOR MATH, SCIENCE AND TECHNOLOGY",25,11367,0,0.354,56351.95,4,53,22,12,35,10,97.0,3.0,87.0,3.0,80.0,3.0,84.0,3.0,74.0,2.0,87.0,3.0,86.0,3.0,3.0,3.12,3.38,50,17,0,3,0,11,0,0,0,6,50,20,0,1,0,14,0,0,0,7,276.0,168.0,185.0,168.0,10.0,6.0,7.0,6.0,27.6,28.0,26.42857142857143,28.0,18.0
11X083,220,77,6,33,0,P.S. 083 DONALD HERTZ,11,10462,0,0.611,51523.99,12,10,9,49,58,32,95.0,11.0,85.0,3.0,87.0,4.0,84.0,3.0,76.0,2.0,77.0,2.0,87.0,3.0,3.0,2.6,2.76,215,33,0,0,12,9,10,0,0,14,217,41,0,0,14,10,16,0,0,18,715.0,715.0,685.0,685.0,22.0,24.0,23.0,25.0,32.5,29.79166666666667,29.782608695652176,27.4,15.900000000000004
03M862,116,64,10,52,1,MOTT HALL II,3,10025,0,0.477,,2,6,26,37,63,26,96.0,8.0,83.0,3.0,95.0,3.0,89.0,4.0,93.0,4.0,84.0,3.0,95.0,4.0,3.0,3.11,3.23,108,23,0,4,5,1,10,0,0,8,108,26,0,3,5,5,11,0,0,6,340.0,339.0,339.0,340.0,13.0,13.0,14.0,13.0,26.153846153846153,26.07692307692308,24.214285714285715,26.153846153846153,17.300000000000004
30Q291,159,65,8,45,1,HUNTERS POINT COMMUNITY MIDDLE SCHOOL,30,11101,0,0.563,,7,16,13,51,63,18,94.0,14.0,88.0,3.0,94.0,3.0,85.0,3.0,97.0,4.0,85.0,4.0,92.0,3.0,3.0,2.68,2.8,128,19,0,0,9,5,4,0,0,8,126,17,0,0,7,6,3,0,0,7,701.0,516.0,408.0,408.0,35.0,20.0,15.0,15.0,20.02857142857143,25.8,27.2,27.2,12.699999999999998
20K104,158,87,6,51,1,P.S./I.S. 104 THE FORT HAMILTON SCHOOL,20,11209,0,0.523,57526.02,9,22,3,25,28,47,96.0,10.0,92.0,4.0,93.0,4.0,86.0,3.0,85.0,3.0,78.0,2.0,93.0,3.0,3.0,2.82,3.09,152,20,0,0,3,0,12,0,0,11,157,31,0,0,8,0,17,0,0,15,888.0,607.0,486.0,485.0,33.0,20.0,16.0,16.0,26.90909090909091,30.35,30.375,30.3125,18.2
31R024,460,132,3,34,0,I.S. 024 MYRA S. BARNES,31,10308,0,0.254,,2,3,1,12,13,83,94.0,15.0,90.0,3.0,90.0,2.0,82.0,2.0,83.0,3.0,73.0,2.0,89.0,3.0,3.0,2.85,2.88,430,79,0,0,2,2,73,0,0,12,426,84,0,0,7,6,69,0,0,18,1296.0,1296.0,1296.0,1296.0,49.0,49.0,50.0,49.0,26.448979591836732,26.448979591836732,25.92,26.448979591836732,13.900000000000004
02M397,58,36,18,65,1,SPRUCE STREET SCHOOL,2,10018,0,0.059,143926.53,2,14,3,12,15,58,96.0,6.0,97.0,3.0,93.0,3.0,97.0,4.0,93.0,4.0,94.0,4.0,95.0,3.0,4.0,3.29,3.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117.0,117.0,117.0,117.0,4.0,4.0,4.0,4.0,29.25,29.25,29.25,29.25,14.8
06M278,69,24,14,36,0,PAULA HEDBAVNY SCHOOL,6,10034,0,0.604,50767.71,12,2,3,77,80,17,95.0,13.0,97.0,4.0,96.0,3.0,94.0,4.0,90.0,4.0,86.0,3.0,96.0,4.0,3.0,2.76,2.86,65,7,0,0,3,0,0,0,0,3,64,21,0,0,16,0,0,0,0,14,254.0,194.0,194.0,194.0,8.0,8.0,7.0,7.0,31.75,24.25,27.714285714285715,27.714285714285715,17.900000000000006
28Q896,79,29,12,17,0,"YOUNG WOMEN'S LEADERSHIP SCHOOL, QUEENS",28,11432,0,0.496,,2,32,46,14,60,3,96.0,6.0,83.0,2.0,85.0,2.0,79.0,3.0,80.0,3.0,76.0,2.0,87.0,3.0,3.0,3.06,3.0,79,11,0,4,1,6,0,0,0,9,79,12,0,4,1,7,0,0,0,8,236.0,236.0,236.0,236.0,9.0,9.0,9.0,9.0,26.222222222222218,26.222222222222218,26.222222222222218,26.222222222222218,16.599999999999998
24Q128,103,46,8,39,1,"P.S. 128 THE LORRAINE TUZZO, JUNIPER VALLEY ELEMENTARY SCHOOL",24,11379,0,0.18,71378.48,4,3,1,20,21,76,96.0,4.0,94.0,3.0,90.0,3.0,86.0,3.0,83.0,3.0,86.0,3.0,92.0,3.0,3.0,3.08,3.23,87,27,0,0,0,0,19,0,0,8,85,25,0,0,0,0,20,0,0,6,208.0,317.0,317.0,162.0,11.0,26.0,23.0,6.0,18.90909090909091,12.192307692307693,13.782608695652176,27.0,16.599999999999998
22K206,126,51,8,43,1,P.S. 206 JOSEPH F LAMB,22,11229,0,0.4970000000000001,57254.23,19,46,2,11,13,39,96.0,9.0,92.0,3.0,91.0,4.0,87.0,3.0,84.0,3.0,79.0,2.0,89.0,3.0,4.0,2.98,3.26,118,22,0,0,1,8,11,0,0,15,119,30,0,0,0,17,12,0,0,21,413.0,376.0,376.0,376.0,17.0,14.0,13.0,13.0,24.294117647058826,26.857142857142854,28.923076923076927,28.923076923076927,17.300000000000004
31R048,97,70,8,59,1,P.S. 048 WILLIAM G. WILCOX,31,10304,0,0.334,72831.32,6,17,4,18,22,59,95.0,10.0,94.0,4.0,93.0,4.0,88.0,3.0,92.0,4.0,87.0,3.0,94.0,4.0,3.0,3.04,3.25,90,13,0,0,0,0,8,0,0,2,90,25,0,0,0,0,16,0,0,7,534.0,344.0,317.0,416.0,21.0,29.0,10.0,31.0,25.42857142857143,11.862068965517242,31.7,13.419354838709678,16.5
19K292,200,81,4,39,1,J.H.S. 292 MARGARET S. DOUGLAS,19,11207,0,0.848,,10,12,52,33,86,1,91.0,29.0,79.0,3.0,79.0,3.0,81.0,2.0,72.0,2.0,72.0,2.0,85.0,2.0,3.0,2.39,2.44,200,15,0,3,5,7,0,0,0,15,206,34,0,13,9,12,0,0,0,31,1038.0,904.0,603.0,585.0,47.0,43.0,27.0,27.0,22.085106382978722,21.023255813953487,22.33333333333333,21.66666666666667,13.699999999999996
21K096,276,114,3,43,1,I.S. 096 SETH LOW,21,11204,1,0.73,,29,33,11,28,38,27,93.0,21.0,90.0,3.0,93.0,4.0,85.0,3.0,89.0,3.0,74.0,2.0,93.0,3.0,4.0,2.45,2.58,168,6,0,0,0,3,2,0,0,1,194,20,0,0,0,18,1,0,4,9,991.0,790.0,787.0,711.0,46.0,33.0,32.0,28.0,21.543478260869566,23.939393939393934,24.59375,25.392857142857146,13.400000000000004
29Q109,353,117,3,33,0,JEAN NUZZI INTERMEDIATE SCHOOL,29,11428,0,0.435,,10,33,40,21,61,4,94.0,16.0,89.0,3.0,86.0,2.0,78.0,2.0,82.0,3.0,72.0,2.0,86.0,2.0,3.0,2.53,2.55,281,20,0,4,2,12,0,0,0,12,284,19,0,2,2,15,0,0,0,11,1079.0,1026.0,1026.0,1211.0,42.0,39.0,39.0,45.0,25.690476190476193,26.30769230769231,26.30769230769231,26.91111111111111,16.800000000000004
11X127,289,133,3,46,1,J.H.S. 127 THE CASTLE HILL,11,10462,0,0.716,,18,31,23,41,64,4,94.0,17.0,90.0,3.0,93.0,4.0,84.0,3.0,89.0,3.0,76.0,2.0,93.0,3.0,3.0,2.49,2.62,211,21,0,3,4,14,0,0,0,11,224,15,0,1,0,13,0,0,2,11,883.0,803.0,772.0,772.0,39.0,34.0,29.0,29.0,22.64102564102564,23.617647058823533,26.62068965517241,26.62068965517241,14.099999999999996
02M407,68,21,11,14,0,INSTITUTE FOR COLLABORATIVE EDUCATION,2,10003,0,0.258,,0,7,16,16,32,55,96.0,13.0,94.0,4.0,98.0,4.0,90.0,4.0,98.0,4.0,89.0,4.0,96.0,4.0,2.0,3.28,2.95,10,5,0,0,0,0,3,0,0,0,10,2,0,0,0,0,0,0,0,0,,,68.0,,,,3.0,,,,22.66666666666667,,18.3
26Q266,65,33,10,42,1,P.S./I.S. 266,26,11426,0,0.239,77165.95,3,43,14,24,38,17,97.0,5.0,89.0,3.0,88.0,4.0,86.0,4.0,87.0,3.0,84.0,3.0,90.0,3.0,4.0,3.07,3.33,83,21,0,0,9,8,4,0,0,6,83,31,0,0,8,18,5,0,0,13,211.0,211.0,211.0,211.0,9.0,9.0,9.0,9.0,23.444444444444446,23.444444444444446,23.444444444444446,23.444444444444446,14.900000000000002
13K008,97,42,13,65,1,P.S. 008 ROBERT FULTON,13,11201,0,0.179,111743.74,2,6,14,11,25,61,96.0,8.0,91.0,4.0,93.0,4.0,84.0,3.0,90.0,4.0,92.0,4.0,92.0,3.0,3.0,3.19,3.17,75,16,0,2,1,0,13,0,0,2,73,7,0,0,1,0,6,0,0,0,257.0,257.0,257.0,257.0,10.0,10.0,10.0,10.0,25.7,25.7,25.7,25.7,15.0
11X194,167,64,5,39,1,P.S./M.S. 194,11,10462,0,0.764,45253.24,14,33,8,53,61,4,95.0,16.0,92.0,4.0,87.0,4.0,85.0,3.0,79.0,3.0,76.0,1.0,88.0,3.0,3.0,2.5,2.82,142,11,0,0,3,7,0,0,0,7,144,18,0,0,2,15,0,0,0,16,569.0,489.0,489.0,489.0,22.0,17.0,17.0,17.0,25.863636363636363,28.764705882352942,28.764705882352942,28.764705882352942,14.699999999999998
02M896,124,70,6,54,1,LOWER MANHATTAN COMMUNITY MIDDLE SCHOOL,2,10004,0,0.564,,8,40,9,20,29,27,96.0,8.0,84.0,3.0,93.0,4.0,90.0,4.0,95.0,4.0,85.0,4.0,96.0,4.0,3.0,2.77,2.88,109,19,0,0,4,8,5,0,0,7,108,33,0,0,3,20,7,0,1,18,256.0,444.0,389.0,128.0,8.0,12.0,12.0,4.0,32.0,37.0,32.416666666666664,32.0,13.2
31R034,348,81,2,21,0,I.S. 034 TOTTENVILLE,31,10307,0,0.225,,1,4,0,11,11,85,93.0,22.0,90.0,4.0,85.0,4.0,84.0,3.0,78.0,3.0,72.0,2.0,87.0,3.0,4.0,3.0,3.02,366,79,0,0,4,0,69,0,0,13,357,87,0,0,4,0,78,0,1,18,1119.0,1114.0,1114.0,993.0,270.0,220.0,32.0,32.0,4.144444444444445,5.063636363636364,34.8125,31.03125,14.0
11X181,295,124,3,42,1,I.S. 181 PABLO CASALS,11,10475,0,0.534,,3,5,63,26,89,4,93.0,21.0,87.0,4.0,90.0,4.0,86.0,3.0,84.0,3.0,77.0,2.0,91.0,3.0,3.0,2.66,2.67,258,33,0,23,6,0,3,0,0,27,259,37,0,18,11,0,3,0,0,28,855.0,855.0,855.0,877.0,37.0,37.0,37.0,38.0,23.10810810810811,23.10810810810811,23.10810810810811,23.078947368421048,14.0
25Q219,83,29,9,38,0,P.S. 219 PAUL KLAPPER,25,11367,0,0.457,61994.44,15,44,9,32,40,16,96.0,13.0,91.0,4.0,86.0,4.0,90.0,3.0,82.0,3.0,78.0,2.0,88.0,3.0,4.0,2.71,2.97,71,15,0,0,2,10,3,0,0,9,72,22,0,0,1,19,2,0,1,16,239.0,237.0,236.0,239.0,16.0,15.0,12.0,14.0,14.9375,15.8,19.666666666666668,17.071428571428573,10.900000000000004
15K839,112,36,7,34,0,M.S. 839,15,11218,0,,,8,14,14,33,47,36,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,454.0,449.0,236.0,,14.0,18.0,10.0,,32.42857142857143,24.944444444444446,23.6,,10.900000000000002
21K226,105,44,7,44,1,P.S. 226 ALFRED DE B.MASON,21,11204,0,0.6920000000000001,47058.63,21,28,2,31,33,38,95.0,11.0,95.0,4.0,93.0,3.0,92.0,4.0,85.0,3.0,82.0,3.0,93.0,4.0,3.0,2.72,2.89,92,6,0,0,3,0,2,0,0,4,95,14,0,0,1,0,7,0,0,10,375.0,317.0,317.0,317.0,17.0,14.0,14.0,14.0,22.058823529411764,22.642857142857146,22.642857142857146,22.642857142857146,14.300000000000002
02M131,165,54,5,38,0,M.S. 131,2,10002,0,0.8370000000000001,,35,77,8,14,22,0,97.0,9.0,86.0,3.0,92.0,3.0,91.0,3.0,86.0,3.0,78.0,3.0,95.0,4.0,4.0,2.49,3.02,140,18,0,0,0,18,0,0,0,0,154,32,0,0,0,32,0,0,4,0,458.0,476.0,444.0,444.0,24.0,20.0,19.0,20.0,19.08333333333333,23.8,23.36842105263158,22.2,13.900000000000004
08X101,176,66,5,44,1,M.S. X101 EDWARD R. BYRNE,8,10465,0,0.489,,1,14,10,56,66,20,95.0,15.0,89.0,3.0,86.0,3.0,88.0,3.0,85.0,3.0,73.0,2.0,89.0,3.0,3.0,2.89,2.74,153,48,0,0,20,16,7,0,0,29,153,15,0,0,1,11,1,0,0,10,527.0,502.0,501.0,501.0,24.0,21.0,21.0,21.0,21.95833333333333,23.904761904761905,23.857142857142854,23.857142857142854,13.900000000000004
31R063,148,70,4,44,1,MARSH AVENUE SCHOOL FOR EXPEDITIONARY LEARNING,31,10314,0,0.317,,0,10,7,20,27,62,95.0,10.0,94.0,4.0,88.0,4.0,90.0,4.0,85.0,3.0,76.0,2.0,86.0,2.0,4.0,3.03,3.01,134,22,0,0,3,6,10,0,0,6,135,28,0,0,3,9,13,0,0,13,443.0,449.0,443.0,438.0,15.0,17.0,18.0,19.0,29.53333333333333,26.411764705882355,24.61111111111111,23.052631578947373,14.0
18K235,92,89,8,97,1,P.S. 235 JANICE MARIE KNIGHT SCHOOL,18,11203,0,0.52,48361.64,1,2,93,2,95,2,95.0,11.0,92.0,3.0,94.0,3.0,86.0,3.0,90.0,4.0,83.0,3.0,93.0,3.0,4.0,3.05,3.1,112,38,0,0,0,0,0,0,0,28,112,37,0,0,0,0,0,0,0,31,307.0,307.0,307.0,307.0,11.0,11.0,11.0,11.0,27.90909090909091,27.90909090909091,27.90909090909091,27.90909090909091,18.2
14K577,175,90,4,53,1,CONSELYEA PREPARATORY SCHOOL,14,11211,0,0.551,,3,3,3,59,62,35,95.0,16.0,92.0,4.0,91.0,4.0,88.0,3.0,89.0,3.0,78.0,3.0,92.0,3.0,2.0,2.85,2.6,146,27,0,0,13,3,11,0,0,7,146,17,0,0,3,2,11,0,0,2,530.0,506.0,506.0,506.0,15.0,14.0,14.0,16.0,35.333333333333336,36.142857142857146,36.142857142857146,31.625,15.5
22K278,428,98,2,33,0,J.H.S. 278 MARINE PARK,22,11229,0,0.494,,3,9,47,16,63,27,94.0,17.0,91.0,4.0,91.0,3.0,80.0,2.0,88.0,4.0,94.0,4.0,91.0,3.0,3.0,2.78,2.68,295,36,0,15,4,0,14,0,0,15,296,27,0,7,4,0,11,0,0,8,1962.0,1026.0,1051.0,1056.0,81.0,42.0,43.0,43.0,24.222222222222218,24.42857142857143,24.44186046511628,24.55813953488372,12.599999999999996
